bp,probability
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,1.3e-05
58,3.7e-05
59,5e-05
60,6.2e-05
61,8.2e-05
62,0.000122
63,0.000171
64,0.000226
65,0.000283
66,0.000343
67,0.000389
68,0.000458
69,0.00056
70,0.000688
71,0.000827
72,0.000981
73,0.001147
74,0.001325
75,0.001492
76,0.001683
77,0.001927
78,0.002211
79,0.002539
80,0.002858
81,0.003185
82,0.003677
83,0.004146
84,0.004597
85,0.005212
86,0.005911
87,0.006689
88,0.007484
89,0.008169
90,0.00889
91,0.009866
92,0.011084
93,0.012587
94,0.014253
95,0.015992
96,0.017976
97,0.019875
98,0.021438
99,0.023665
100,0.026197
101,0.028999
102,0.031972
103,0.035196
104,0.038619
105,0.042207
106,0.04593
107,0.050072
108,0.0541
109,0.058686
110,0.063294
111,0.067698
112,0.071639
113,0.076316
114,0.081683
115,0.087251
116,0.092996
117,0.09919
118,0.10562
119,0.112322
120,0.118652
121,0.125651
122,0.132692
123,0.140287
124,0.147791
125,0.153958
126,0.159581
127,0.16662
128,0.175168
129,0.184407
130,0.193851
131,0.203885
132,0.214278
133,0.224994
134,0.235511
135,0.246205
136,0.25737
137,0.268783
138,0.279792
139,0.291179
140,0.302946
141,0.314384
142,0.327039
143,0.340495
144,0.354313
145,0.368819
146,0.382973
147,0.397167
148,0.411529
149,0.42594
150,0.440524
151,0.455215
152,0.469516
153,0.483892
154,0.498533
155,0.512402
156,0.526304
157,0.539869
158,0.553207
159,0.566708
160,0.579611
161,0.592067
162,0.604285
163,0.616563
164,0.628732
165,0.640657
166,0.652617
167,0.664334
168,0.675675
169,0.686866
170,0.697341
171,0.708244
172,0.71847
173,0.72815
174,0.738068
175,0.747155
176,0.756007
177,0.764985
178,0.773381
179,0.782845
180,0.791782
181,0.800661
182,0.808802
183,0.817036
184,0.824937
185,0.832775
186,0.839777
187,0.846886
188,0.853647
189,0.859862
190,0.866108
191,0.872079
192,0.877174
193,0.883016
194,0.888795
195,0.894946
196,0.900369
197,0.906002
198,0.911155
199,0.916171
200,0.920791
201,0.925409
202,0.929643
203,0.933459
204,0.93726
205,0.940469
206,0.94326
207,0.945367
208,0.947997
209,0.950863
210,0.953513
211,0.956236
212,0.958613
213,0.960986
214,0.963228
215,0.965428
216,0.967451
217,0.969407
218,0.971274
219,0.972662
220,0.974183
221,0.975607
222,0.977367
223,0.978779
224,0.980004
225,0.981094
226,0.982104
227,0.983256
228,0.984141
229,0.984927
230,0.9859
231,0.98685
232,0.987888
233,0.988602
234,0.989578
235,0.990339
236,0.991354
237,0.992283
238,0.993166
239,0.993777
240,0.994358
241,0.994921
242,0.995201
243,0.995482
244,0.995861
245,0.996146
246,0.996521
247,0.996945
248,0.997473
249,0.997842
250,0.998081
251,0.998427
252,0.99886
253,0.999173
254,0.999355
255,0.999519
256,0.999609
257,0.9997
258,0.9997
259,0.9997
260,0.9997
261,0.999827
262,0.999954
263,1.0
264,1.0
